,LocationID,Borough,zone,service_zone,latitude,longitude
147,148,Manhattan,Lower East Side,Yellow Zone,40.7159357,-73.9868057
148,149,Brooklyn,Madison,Boro Zone,43.074761,-89.3837613
149,150,Brooklyn,Manhattan Beach,Boro Zone,33.8915985,-118.3951241
150,151,Manhattan,Manhattan Valley,Yellow Zone,40.7970037,-73.969718
151,152,Manhattan,Manhattanville,Boro Zone,40.8157775,-73.951554
152,153,Manhattan,Marble Hill,Boro Zone,40.8762983,-73.9104292
153,154,Brooklyn,Marine Park,Boro Zone,40.605579250000005,-73.93419724559482
154,155,Brooklyn,Marine Park,Boro Zone,40.605579250000005,-73.93419724559482
155,156,Staten Island,Mariners Harbor,Boro Zone,40.6367701,-74.1587547
156,157,Queens,Maspeth,Boro Zone,40.723158,-73.912637
157,158,Manhattan,Meatpacking,Yellow Zone,40.7408029,-74.0080691
158,159,Bronx,Melrose South,Boro Zone,-26.276623999999998,151.60379525587945
159,160,Queens,Middle Village,Boro Zone,40.718222749999995,-73.87867894730417
160,161,Manhattan,Midtown Center,Yellow Zone,30.302121200000002,-81.61965224433564
161,162,Manhattan,Midtown East,Yellow Zone,35.821338749999995,-78.62083419871809
162,163,Manhattan,Midtown North,Yellow Zone,35.8631305,-78.63670218521418
163,164,Manhattan,Midtown South,Yellow Zone,40.7498417,-73.984251
164,165,Brooklyn,Midwood,Boro Zone,40.6188823,-73.9654889
165,166,Manhattan,Morningside Heights,Boro Zone,40.81,-73.9625
166,167,Bronx,Morrisania,Boro Zone,40.8292672,-73.9065253
167,168,Bronx,Mott Haven,Boro Zone,40.8089897,-73.9229147
168,169,Bronx,Mount Hope,Boro Zone,37.8686224,-97.665047
169,170,Manhattan,Murray Hill,Yellow Zone,40.76,-73.8130556
170,171,Queens,Murray Hill-Queens,Boro Zone,40.76,-73.8130556
171,172,Staten Island,New Dorp,Boro Zone,40.5739486,-74.1162461
172,173,Queens,North Corona,Boro Zone,33.8752945,-117.566444
173,174,Bronx,Norwood,Boro Zone,40.7055931,-89.6987129
174,175,Queens,Oakland Gardens,Boro Zone,40.753991,-73.765966
175,176,Staten Island,Oakwood,Boro Zone,51.6473302,-0.1312548
176,177,Brooklyn,Ocean Hill,Boro Zone,40.6757317,-73.9124338
177,178,Brooklyn,Ocean Parkway South,Boro Zone,37.8985119,-122.7103095
178,179,Queens,Old Astoria,Boro Zone,46.188354950000004,-123.82539637946778
179,180,Queens,Ozone Park,Boro Zone,40.67677,-73.8437461
180,181,Brooklyn,Park Slope,Boro Zone,40.6701033,-73.9859723
181,182,Bronx,Parkchester,Boro Zone,40.8332047,-73.8609723
182,183,Bronx,Pelham Bay,Boro Zone,40.8662112,-73.7895774
183,184,Bronx,Pelham Bay Park,Boro Zone,40.871355550000004,-73.8117925755334
184,185,Bronx,Pelham Parkway,Boro Zone,40.857229,-73.8676281
185,186,Manhattan,Penn Station,Yellow Zone,40.7512885,-73.9903622
186,187,Staten Island,Port Richmond,Boro Zone,39.9863549,-75.1009166
187,188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,40.68035905,-73.957633
188,189,Brooklyn,Prospect Heights,Boro Zone,42.0953049,-87.9375694
189,190,Brooklyn,Prospect Park,Boro Zone,40.661774300000005,-73.97108902901994
190,191,Queens,Queens Village,Boro Zone,40.7267692,-73.7415208
191,192,Queens,Queensboro Hill,Boro Zone,40.7601027,-73.9618363
192,193,Queens,Queensbridge,Boro Zone,52.9561477,-2.9386634
193,194,Manhattan,Randalls Island,Yellow Zone,40.7967677,-73.9220815
194,195,Brooklyn,Red Hook,Boro Zone,40.6751032,-74.0095841
195,196,Queens,Rego Park,Boro Zone,40.72286495,-73.86210252803048
196,197,Queens,Richmond Hill,Boro Zone,43.8801166,-79.4392925
197,198,Queens,Ridgewood,Boro Zone,40.9796683,-74.1194403
198,199,Bronx,Rikers Island,Boro Zone,40.79193175,-73.88349371727949
199,200,Bronx,Riverdale,Boro Zone,41.6333678,-87.6331021
200,201,Queens,Rockaway Park,Boro Zone,40.5805104,-73.8361535
201,202,Manhattan,Roosevelt Island,Boro Zone,40.76133675,-73.95028526170718
202,203,Queens,Rosedale,Boro Zone,35.3777238,-119.14565861581144
203,204,Staten Island,Rossville,Boro Zone,39.13611,-95.951656
204,205,Queens,Saint Albans,Boro Zone,51.753051,-0.3379675
205,206,Staten Island,Saint George,Boro Zone,12.0535331,-61.751805
206,207,Queens,Saint Michaels Cemetery,Boro Zone,42.8425989,-72.55890406591894
207,208,Bronx,Schuylerville,Boro Zone,43.100231,-73.581963
208,209,Manhattan,Seaport,Yellow Zone,3.1046493,101.61111019180845
209,210,Brooklyn,Sheepshead Bay,Boro Zone,40.5912161,-73.9445822
210,211,Manhattan,SoHo,Yellow Zone,51.5140654,-0.1350494
211,212,Bronx,Soundview,Boro Zone,40.8153759,-73.87110608912408
212,213,Bronx,Soundview,Boro Zone,40.8153759,-73.87110608912408
213,214,Staten Island,South Beach,Boro Zone,25.7744291,-80.1332415
214,215,Queens,South Jamaica,Boro Zone,17.90036635,-77.10848283422055
215,216,Queens,South Ozone Park,Boro Zone,40.6701035,-73.8190231
216,217,Brooklyn,South Williamsburg,Boro Zone,33.6442699,-79.7442135
217,218,Queens,Springfield Gardens North,Boro Zone,35.17472785,-80.70974453100884
218,219,Queens,Springfield Gardens South,Boro Zone,51.6023029,0.0391843
219,220,Bronx,Spuyten Duyvil,Boro Zone,40.8812107,-73.9173588
220,221,Staten Island,Stapleton,Boro Zone,33.2157012,-82.4681823
221,222,Brooklyn,Starrett City,Boro Zone,40.6478738,-73.87951922227273
222,223,Queens,Steinway,Boro Zone,40.7745459,-73.9037477
223,224,Manhattan,Stuy Town,Yellow Zone,40.73185095,-73.97778284051762
224,225,Brooklyn,Stuyvesant Heights,Boro Zone,42.387863,-73.775751
225,226,Queens,Sunnyside,Boro Zone,47.8595825,-53.9209544
226,227,Brooklyn,Sunset Park East,Boro Zone,37.96179685,-87.5714840043773
227,228,Brooklyn,Sunset Park West,Boro Zone,33.145811300000005,-117.21186689022747
228,229,Manhattan,Sutton Place,Yellow Zone,40.7580419,-73.960182
229,230,Manhattan,Times Sq,Yellow Zone,40.757261400000004,-73.98589982948505
230,231,Manhattan,TriBeCa,Yellow Zone,40.7153802,-74.0093063
231,232,Manhattan,Two Bridges,Yellow Zone,40.7112884,-73.9922333
232,233,Manhattan,UN,Yellow Zone,40.750214150000005,-73.96727182919946
233,234,Manhattan,Union Sq,Yellow Zone,40.7360717,-73.9901888
234,235,Bronx,University Heights,Boro Zone,41.6551485,-91.5599003
235,236,Manhattan,Upper East Side North,Yellow Zone,-35.0153,138.63557
236,237,Manhattan,Upper East Side South,Yellow Zone,-35.0236389,138.6767413
237,238,Manhattan,Upper West Side North,Yellow Zone,-35.0235084,138.6766458
238,239,Manhattan,Upper West Side South,Yellow Zone,-35.015787,138.636155
239,240,Bronx,Van Cortlandt Park,Boro Zone,40.8970755,-73.8865797057321
240,241,Bronx,Van Cortlandt Village,Boro Zone,41.171682,-73.8610132
241,242,Bronx,Van Nest,Boro Zone,40.8484336,-73.8637463
242,243,Manhattan,Washington Heights North,Boro Zone,35.2557439,-80.8602626
243,244,Manhattan,Washington Heights South,Boro Zone,40.883325,-72.515328
244,245,Staten Island,West Brighton,Boro Zone,40.5777777,-73.97493451658843
245,246,Manhattan,West Chelsea,Yellow Zone,37.91593655,-96.78585964406288
246,247,Bronx,West Concourse,Boro Zone,-33.8172986,151.00487093635678
247,248,Bronx,West Farms,Boro Zone,40.1920573,-74.2012546
248,249,Manhattan,West Village,Yellow Zone,40.7341857,-74.00558
249,250,Bronx,Westchester Village,Boro Zone,43.093060949999995,-77.80238595785123
250,251,Staten Island,Westerleigh,Boro Zone,51.5165414,-2.4346352
251,252,Queens,Whitestone,Boro Zone,50.73837845,-3.6009702380632556
252,253,Queens,Willets Point,Boro Zone,40.796708,-73.779396
253,254,Bronx,Williamsbridge,Boro Zone,40.87762425,-73.87752006260061
254,255,Brooklyn,Williamsburg (North Side),Boro Zone,,
255,256,Brooklyn,Williamsburg (South Side),Boro Zone,,
256,257,Brooklyn,Windsor Terrace,Boro Zone,40.65348695,-73.97719596197135
257,258,Queens,Woodhaven,Boro Zone,42.1370519,-83.2451066
258,259,Bronx,Woodlawn,Boro Zone,38.3300497,-89.0325693
259,260,Queens,Woodside,Boro Zone,37.4299388,-122.253855
260,261,Manhattan,World Trade Center,Yellow Zone,40.7119004,-74.012527
261,262,Manhattan,Yorkville East,Yellow Zone,33.46541,-88.358724
262,263,Manhattan,Yorkville West,Yellow Zone,36.0995134,-89.1189568
263,264,Unknown,NV,,39.5158825,-116.853722
264,265,Unknown,,,46.3144754,11.0480288
